"Id","SAP_Customer_Number__c"
"001Q800000qI2DVIA0","3020001857"
"001Q800000qccb0IAA","3020000414"
"001Q800000qfwN5IAI","3020001686"
"001Q800000qfwN6IAI","3020001309"
"001Q800000qfwN7IAI","3020000548"
"001Q800000qfwN8IAI","3020000950"
"001Q800000qfwN9IAI","3020000849"
"001Q800000qfwNAIAY","3020001755"
"001Q800000qfwNBIAY","3020000728"
"001Q800000qfwNCIAY","3020000497"
"001Q800000qfwNDIAY","3020001499"
"001Q800000qfwNEIAY","3020001246"
"001Q800000qfwNFIAY","3020000833"
"001Q800000qfwNGIAY","3020000714"
"001Q800000qfwNHIAY","3020000519"
"001Q800000qfwNIIAY","3020000504"
"001Q800000qfwNJIAY","3020001650"
"001Q800000qfwNKIAY","3020001380"
"001Q800000qfwNLIAY","3020000515"
"001Q800000qfwNMIAY","3020001525"
"001Q800000qfwNNIAY","3020001369"
"001Q800000qfwNOIAY","3020000888"
"001Q800000qfwNPIAY","3020001508"
"001Q800000qfwNQIAY","3020001718"
"001Q800000qfwNRIAY","3020001389"
"001Q800000qfwNSIAY","3020000985"
"001Q800000qfwNTIAY","3020000582"
"001Q800000qfwNUIAY","3020000675"
"001Q800000qfwNVIAY","3020001487"
"001Q800000qfwNWIAY","3020000271"
"001Q800000qfwNXIAY","3020001716"
"001Q800000qfwNYIAY","3020000001"
"001Q800000qfwNZIAY","3020001047"
"001Q800000qfwNaIAI","3020000125"
"001Q800000qfwNbIAI","3020001339"
"001Q800000qfwNcIAI","3020000526"
"001Q800000qfwNdIAI","3020000863"
"001Q800000qfwNeIAI","3020000622"
"001Q800000qfwNfIAI","3020000702"
"001Q800000qfwNgIAI","3020000460"
"001Q800000qfwNhIAI","3020000853"
"001Q800000qfwNiIAI","3020000751"
"001Q800000qfwNjIAI","3020000763"
"001Q800000qfwNkIAI","3020001158"
"001Q800000qfwNlIAI","3020001221"
"001Q800000qfwNmIAI","3020000529"
"001Q800000qfwNnIAI","3020001588"
"001Q800000qfwNoIAI","3020001238"
"001Q800000qfwNpIAI","3020000640"
"001Q800000qfwNqIAI","3020000777"
"001Q800000qfwNrIAI","3020001683"
"001Q800000qfwNsIAI","3020001675"
"001Q800000qfwNtIAI","3020001360"
"001Q800000qfwNuIAI","3020000874"
"001Q800000qfwNvIAI","3020001155"
"001Q800000qfwNwIAI","3020000072"
"001Q800000qfwNxIAI","3020000093"
"001Q800000qfwNyIAI","3020000520"
"001Q800000qfwNzIAI","3020001395"
"001Q800000qfwO0IAI","3020000723"
"001Q800000qfwO1IAI","3020001591"
"001Q800000qfwO2IAI","3020001409"
"001Q800000qfwO3IAI","3020000525"
"001Q800000qfwO4IAI","3020000006"
"001Q800000qfwO5IAI","3020000215"
"001Q800000qfwO6IAI","3020000188"
"001Q800000qfwO7IAI","3020001345"
"001Q800000qfwO8IAI","3020000617"
"001Q800000qfwO9IAI","3020000150"
"001Q800000qfwOAIAY","3020001269"
"001Q800000qfwOBIAY","3020000999"
"001Q800000qfwOCIAY","3020000918"
"001Q800000qfwODIAY","3020001608"
"001Q800000qfwOEIAY","3020001222"
"001Q800000qfwOFIAY","3020001566"
"001Q800000qfwOGIAY","3020001794"
"001Q800000qfwOHIAY","3020000013"
"001Q800000qfwOIIAY","3020001512"
"001Q800000qfwOJIAY","3020000633"
"001Q800000qfwOKIAY","3020001809"
"001Q800000qfwOLIAY","3020001192"
"001Q800000qfwOMIAY","3020000112"
"001Q800000qfwONIAY","3020001381"
"001Q800000qfwOOIAY","3020001652"
"001Q800000qfwOPIAY","3020001804"
"001Q800000qfwOQIAY","3020000896"
"001Q800000qfwORIAY","3020001562"
"001Q800000qfwOSIAY","3020001446"
"001Q800000qfwOTIAY","3020000159"
"001Q800000qfwOUIAY","3020001229"
"001Q800000qfwOVIAY","3020001141"
"001Q800000qfwOWIAY","3020001399"
"001Q800000qfwOXIAY","3020001042"
"001Q800000qfwOYIAY","3020000206"
"001Q800000qfwOZIAY","3020000965"
"001Q800000qfwOaIAI","3020001237"
"001Q800000qfwObIAI","3020000439"
"001Q800000qfwOcIAI","3020000692"
"001Q800000qfwOdIAI","3020001430"
"001Q800000qfwOeIAI","3020001509"
"001Q800000qfzWEIAY","3020000477"
"001Q800000qfzWFIAY","3020001330"
"001Q800000qfzWGIAY","3020000262"
"001Q800000qfzWHIAY","3020001511"
"001Q800000qfzWIIAY","3020000087"
"001Q800000qfzWJIAY","3020000317"
"001Q800000qfzWKIAY","3020000108"
"001Q800000qfzWLIAY","3020001513"
"001Q800000qfzWMIAY","3020000363"
"001Q800000qfzWNIAY","3020000189"
"001Q800000qfzWOIAY","3020000209"
"001Q800000qfzWPIAY","3020001579"
"001Q800000qfzWQIAY","3020001634"
"001Q800000qfzWRIAY","3020000237"
"001Q800000qfzWSIAY","3020000257"
"001Q800000qfzWTIAY","3020000265"
"001Q800000qfzWUIAY","3020000029"
"001Q800000qfzWVIAY","3020000978"
"001Q800000qfzWWIAY","3020001049"
"001Q800000qfzWXIAY","3020001748"
"001Q800000qfzWYIAY","3020001640"
"001Q800000qfzWZIAY","3020000917"
"001Q800000qfzWaIAI","3020000734"
"001Q800000qfzWbIAI","3020001019"
"001Q800000qfzWcIAI","3020001506"
"001Q800000qfzWdIAI","3020001693"
"001Q800000qfzWeIAI","3020000547"
"001Q800000qfzWfIAI","3020001810"
"001Q800000qfzWgIAI","3020001811"
"001Q800000qfzWhIAI","3020001813"
"001Q800000qfzWiIAI","3020001082"
"001Q800000qfzWjIAI","3020000393"
"001Q800000qfzWkIAI","3020000394"
"001Q800000qfzWlIAI","3020001086"
"001Q800000qfzWmIAI","3020001089"
"001Q800000qfzWnIAI","3020001079"
"001Q800000qfzWoIAI","3020000398"
"001Q800000qfzWpIAI","3020001102"
"001Q800000qfzWqIAI","3020000682"
"001Q800000qfzWrIAI","3020001814"
"001Q800000qfzWsIAI","3020000685"
"001Q800000qfzWtIAI","3020000119"
"001Q800000qfzWuIAI","3020001815"
"001Q800000qfzWvIAI","3020000404"
"001Q800000qfzWwIAI","3020000545"
"001Q800000qfzWxIAI","3020000686"
"001Q800000qfzWyIAI","3020001167"
"001Q800000qfzWzIAI","3020000546"
"001Q800000qfzX0IAI","3020000590"
"001Q800000qfzX1IAI","3020000688"
"001Q800000qfzX2IAI","3020000843"
"001Q800000qfzX3IAI","3020001172"
"001Q800000qfzX4IAI","3020000550"
"001Q800000qfzX5IAI","3020001131"
"001Q800000qfzX6IAI","3020000605"
"001Q800000qfzX7IAI","3020001174"
"001Q800000qfzX8IAI","3020000406"
"001Q800000qfzX9IAI","3020001107"
"001Q800000qfzXAIAY","3020001137"
"001Q800000qfzXBIAY","3020001139"
"001Q800000qfzXCIAY","3020000411"
"001Q800000qfzXDIAY","3020001146"
"001Q800000qfzXEIAY","3020001148"
"001Q800000qfzXFIAY","3020000124"
"001Q800000qfzXGIAY","3020000418"
"001Q800000qfzXHIAY","3020000337"
"001Q800000qfzXIIAY","3020000341"
"001Q800000qfzXJIAY","3020000344"
"001Q800000qfzXKIAY","3020001291"
"001Q800000qfzXLIAY","3020000149"
"001Q800000qfzXMIAY","3020001050"
"001Q800000qfzXNIAY","3020000708"
"001Q800000qfzXOIAY","3020000791"
"001Q800000qfzXPIAY","3020000510"
"001Q800000qfzXQIAY","3020000798"
"001Q800000qfzXRIAY","3020001678"
"001Q800000qfzXSIAY","3020001201"
"001Q800000qfzXTIAY","3020001227"
"001Q800000qfzXUIAY","3020000959"
"001Q800000qfzXVIAY","3020000164"
"001Q800000qfzXWIAY","3020000352"
"001Q800000qfzXXIAY","3020000444"
"001Q800000qfzXYIAY","3020000301"
"001Q800000qfzXZIAY","3020000817"
"001Q800000qfzXaIAI","3020001119"
"001Q800000qfzXbIAI","3020001101"
"001Q800000qfzXcIAI","3020001106"
"001Q800000qfzXdIAI","3020001056"
"001Q800000qfzXeIAI","3020001140"
"001Q800000qfzXfIAI","3020000289"
"001Q800000qfzXgIAI","3020001624"
"001Q800000qfzXhIAI","3020000486"
"001Q800000qfzXiIAI","3020000131"
"001Q800000qfzXjIAI","3020000650"
"001Q800000qfzXkIAI","3020001077"
"001Q800000qfzXlIAI","3020001233"
"001Q800000qfzXmIAI","3020001197"
"001Q800000qfzXnIAI","3020001220"
"001Q800000qfzXoIAI","3020000251"
"001Q800000qg5LWIAY","3020000242"
"001Q800000qg5LXIAY","3020001432"
"001Q800000qg5LYIAY","3020001625"
"001Q800000qg5LZIAY","3020001719"
"001Q800000qg5LaIAI","3020000599"
"001Q800000qg5LbIAI","3020001021"
"001Q800000qg5LcIAI","3020001745"
"001Q800000qg5LdIAI","3020000724"
"001Q800000qg5LeIAI","3020000420"
"001Q800000qg5LfIAI","3020000147"
"001Q800000qg5LgIAI","3020000807"
"001Q800000qg5LhIAI","3020001110"
"001Q800000qg5LiIAI","3020000632"
"001Q800000qg5LjIAI","3020000391"
"001Q800000qg5LkIAI","3020001653"
"001Q800000qg5LlIAI","3020000905"
"001Q800000qg5LmIAI","3020000586"
"001Q800000qg5LnIAI","3020001733"
"001Q800000qg5LoIAI","3020001210"
"001Q800000qg5LpIAI","3020001590"
"001Q800000qg5LqIAI","3020001722"
"001Q800000qg5LrIAI","3020000658"
"001Q800000qg5LsIAI","3020001592"
"001Q800000qg5LtIAI","3020001677"
"001Q800000qg5LuIAI","3020000879"
"001Q800000qg5LvIAI","3020000656"
"001Q800000qg5LwIAI","3020001328"
"001Q800000qg5LxIAI","3020001803"
"001Q800000qg5LyIAI","3020001724"
"001Q800000qg5LzIAI","3020001206"
"001Q800000qg5M0IAI","3020001702"
"001Q800000qg5M1IAI","3020001231"
"001Q800000qg5M2IAI","3020000799"
"001Q800000qg5M3IAI","3020001694"
"001Q800000qg5M4IAI","3020000857"
"001Q800000qg5M5IAI","3020000806"
"001Q800000qg5M6IAI","3020000396"
"001Q800000qg5M7IAI","3020000160"
"001Q800000qg5M8IAI","3020001642"
"001Q800000qg5M9IAI","3020001761"
"001Q800000qg5MAIAY","3020000920"
"001Q800000qg5MBIAY","3020001012"
"001Q800000qg5MCIAY","3020001626"
"001Q800000qg5MDIAY","3020000829"
"001Q800000qg5MEIAY","3020000452"
"001Q800000qg5MFIAY","3020001546"
"001Q800000qg5MGIAY","3020001774"
"001Q800000qg5MHIAY","3020000911"
"001Q800000qg5MIIAY","3020001775"
"001Q800000qg5MJIAY","3020000957"
"001Q800000qg5MKIAY","3020001581"
"001Q800000qg5MLIAY","3020001329"
"001Q800000qg5MMIAY","3020001577"
"001Q800000qg5MNIAY","3020000288"
"001Q800000qg5MOIAY","3020000768"
"001Q800000qg5MPIAY","3020000324"
"001Q800000qg5MQIAY","3020000812"
"001Q800000qg5MRIAY","3020000066"
"001Q800000qg5MSIAY","3020000037"
"001Q800000qg5MTIAY","3020001191"
"001Q800000qg5MUIAY","3020001558"
"001Q800000qg5MVIAY","3020001692"
"001Q800000qg5MWIAY","3020001714"
"001Q800000qg5MXIAY","3020001599"
"001Q800000qg5MYIAY","3020001482"
"001Q800000qg5MZIAY","3020001584"
"001Q800000qg5MaIAI","3020001784"
"001Q800000qg5MbIAI","3020001681"
"001Q800000qg5McIAI","3020000163"
"001Q800000qg5MdIAI","3020001610"
"001Q800000qg5MeIAI","3020001595"
"001Q800000qg5MfIAI","3020001666"
"001Q800000qg5MgIAI","3020001715"
"001Q800000qg5MhIAI","3020000928"
"001Q800000qg5MiIAI","3020000915"
"001Q800000qg5MjIAI","3020000145"
"001Q800000qg5MkIAI","3020001570"
"001Q800000qg5MlIAI","3020001689"
"001Q800000qg5MmIAI","3020001138"
"001Q800000qg5MnIAI","3020001125"
"001Q800000qg5MoIAI","3020000769"
"001Q800000qg5MpIAI","3020001700"
"001Q800000qg5MqIAI","3020000668"
"001Q800000qg5MrIAI","3020000927"
"001Q800000qg5MsIAI","3020001688"
"001Q800000qg5MtIAI","3020001729"
"001Q800000qg5MuIAI","3020001805"
"001Q800000qg5MvIAI","3020001484"
"001Q800000qg5MwIAI","3020000916"
"001Q800000qg5MxIAI","3020000192"
"001Q800000qg5MyIAI","3020001397"
"001Q800000qg5MzIAI","3020001580"
"001Q800000qg5N0IAI","3020001307"
"001Q800000qg5N1IAI","3020000264"
"001Q800000qg5N2IAI","3020000120"
"001Q800000qg5N3IAI","3020000654"
"001Q800000qg5N4IAI","3020000445"
"001Q800000qg5N5IAI","3020001314"
"001Q800000qg5N6IAI","3020001781"
"001Q800000qgC0PIAU","3020000875"
"001Q800000qgC0QIAU","3020000291"
"001Q800000qgC0RIAU","3020000248"
"001Q800000qgC0SIAU","3020001033"
"001Q800000qgC0TIAU","3020000649"
"001Q800000qgC0UIAU","3020001003"
"001Q800000qgC0VIAU","3020001180"
"001Q800000qgC0WIAU","3020001541"
"001Q800000qgC0XIAU","3020000499"
"001Q800000qgC0YIAU","3020001199"
"001Q800000qgC0ZIAU","3020000524"
"001Q800000qgC0aIAE","3020001808"
"001Q800000qgC0bIAE","3020000142"
"001Q800000qgC0cIAE","3020000335"
"001Q800000qgC0dIAE","3020000517"
"001Q800000qgC0eIAE","3020001426"
"001Q800000qgC0fIAE","3020000227"
"001Q800000qgC0gIAE","3020000438"
"001Q800000qgC0hIAE","3020000385"
"001Q800000qgC0iIAE","3020000627"
"001Q800000qgC0jIAE","3020000842"
"001Q800000qgC0kIAE","3020000469"
"001Q800000qgC0lIAE","3020000373"
"001Q800000qgC0mIAE","3020001428"
"001Q800000qgC0nIAE","3020000105"
"001Q800000qgC0oIAE","3020000797"
"001Q800000qgC0pIAE","3020000689"
"001Q800000qgC0qIAE","3020000886"
"001Q800000qgC0rIAE","3020000339"
"001Q800000qgC0sIAE","3020001305"
"001Q800000qgC0tIAE","3020000365"
"001Q800000qgC0uIAE","3020000293"
"001Q800000qgC0vIAE","3020000295"
"001Q800000qgC0wIAE","3020001154"
"001Q800000qgC0xIAE","3020000244"
"001Q800000qgC0yIAE","3020001500"
"001Q800000qgC0zIAE","3020001646"
"001Q800000qgC10IAE","3020001303"
"001Q800000qgC11IAE","3020001585"
"001Q800000qgC12IAE","3020000804"
"001Q800000qgC13IAE","3020000498"
"001Q800000qgC14IAE","3020001682"
"001Q800000qgC15IAE","3020001293"
"001Q800000qgC16IAE","3020000801"
"001Q800000qgC17IAE","3020001165"
"001Q800000qgC18IAE","3020000451"
"001Q800000qgC19IAE","3020000231"
"001Q800000qgC1AIAU","3020000255"
"001Q800000qgC1BIAU","3020001264"
"001Q800000qgC1CIAU","3020000332"
"001Q800000qgC1DIAU","3020001383"
"001Q800000qgC1EIAU","3020000961"
"001Q800000qgC1FIAU","3020001039"
"001Q800000qgC1GIAU","3020000636"
"001Q800000qgC1HIAU","3020000349"
"001Q800000qgC1IIAU","3020001550"
"001Q800000qgC1JIAU","3020000712"
"001Q800000qgC1KIAU","3020001713"
"001Q800000qgC1LIAU","3020001405"
"001Q800000qgC1MIAU","3020001735"
"001Q800000qgC1NIAU","3020001422"
"001Q800000qgC1OIAU","3020000182"
"001Q800000qgC1PIAU","3020000220"
"001Q800000qgC1QIAU","3020000038"
"001Q800000qgC1RIAU","3020000305"
"001Q800000qgC1SIAU","3020000852"
"001Q800000qgC1TIAU","3020001736"
"001Q800000qgC1UIAU","3020000856"
"001Q800000qgC1VIAU","3020000200"
"001Q800000qgC1WIAU","3020001783"
"001Q800000qgC1XIAU","3020001567"
"001Q800000qgC1YIAU","3020000184"
"001Q800000qgC1ZIAU","3020000267"
"001Q800000qgC1aIAE","3020001203"
"001Q800000qgC1bIAE","3020001695"
"001Q800000qgC1cIAE","3020000785"
"001Q800000qgC1dIAE","3020001760"
"001Q800000qgC1eIAE","3020000646"
"001Q800000qgC1fIAE","3020000467"
"001Q800000qgC1gIAE","3020001757"
"001Q800000qgC1hIAE","3020000091"
"001Q800000qgC1iIAE","3020001445"
"001Q800000qgC1jIAE","3020000767"
"001Q800000qgC1kIAE","3020000311"
"001Q800000qgC1lIAE","3020000245"
"001Q800000qgC1mIAE","3020001157"
"001Q800000qgC1nIAE","3020000099"
"001Q800000qgC1oIAE","3020000514"
"001Q800000qgC1pIAE","3020001176"
"001Q800000qgC1qIAE","3020000772"
"001Q800000qgC1rIAE","3020000073"
"001Q800000qgC1sIAE","3020000383"
"001Q800000qgC1tIAE","3020001660"
"001Q800000qgC1uIAE","3020000587"
"001Q800000qgC1vIAE","3020001662"
"001Q800000qgC1wIAE","3020000946"
"001Q800000qgC1xIAE","3020001225"
"001Q800000qgC1yIAE","3020000945"
"001Q800000qgC1zIAE","3020000122"
"001Q800000qgC20IAE","3020001447"
"001Q800000qgC21IAE","3020001554"
"001Q800000qgC22IAE","3020001313"
"001Q800000qgC23IAE","3020001680"
"001Q800000qgC24IAE","3020001744"
"001Q800000qgC25IAE","3020001747"
"001Q800000qgC26IAE","3020000699"
"001Q800000qgC27IAE","3020001778"
"001Q800000qgC28IAE","3020001797"
"001Q800000qgC29IAE","3020000461"
"001Q800000qgC2AIAU","3020000523"
"001Q800000qgC2BIAU","3020000516"
"001Q800000qgC2CIAU","3020000269"
"001Q800000qgC2DIAU","3020000076"
"001Q800000qgC2EIAU","3020000962"
"001Q800000qgC2FIAU","3020000056"
"001Q800000qgC2GIAU","3020000403"
"001Q800000qgC2HIAU","3020001368"
"001Q800000qgC2IIAU","3020000426"
"001Q800000qgC2JIAU","3020000489"
"001Q800000qgC2KIAU","3020000809"
"001Q800000qgC2LIAU","3020001182"
"001Q800000qgC2MIAU","3020000828"
"001Q800000qgC2NIAU","3020000127"
"001Q800000qgC2OIAU","3020000422"
"001Q800000qgC2PIAU","3020001756"
"001Q800000qgC2QIAU","3020000312"
"001Q800000qgC2RIAU","3020001048"
"001Q800000qgC2SIAU","3020000619"
"001Q800000qgC2TIAU","3020001052"
"001Q800000qgC2UIAU","3020001647"
"001Q800000qgC2VIAU","3020000100"
"001Q800000qgC2WIAU","3020001749"
"001Q800000qgC2XIAU","3020000401"
"001Q800000qgC2YIAU","3020000870"
"001Q800000qgC2ZIAU","3020001709"
"001Q800000qgC2aIAE","3020000638"
"001Q800000qgC2bIAE","3020001542"
"001Q800000qgC2cIAE","3020001347"
"001Q800000qgC2dIAE","3020001574"
"001Q800000qgC2eIAE","3020001149"
"001Q800000qgC2fIAE","3020001088"
"001Q800000qgC2gIAE","3020000179"
"001Q800000qgC2hIAE","3020001699"
"001Q800000qgC2iIAE","3020001379"
"001Q800000qgC2jIAE","3020000162"
"001Q800000qgC2kIAE","3020000282"
"001Q800000qgC2lIAE","3020000695"
"001Q800000qgC2mIAE","3020001184"
"001Q800000qgC2nIAE","3020000306"
"001Q800000qgC2oIAE","3020000490"
"001Q800000qgC2pIAE","3020001636"
"001Q800000qgC2qIAE","3020000261"
"001Q800000qgC2rIAE","3020001256"
"001Q800000qgC2sIAE","3020001763"
"001Q800000qgC2tIAE","3020001473"
"001Q800000qgC2uIAE","3020001704"
"001Q800000qgC2vIAE","3020001802"
"001Q800000qgC2wIAE","3020000630"
"001Q800000qgC2xIAE","3020000247"
"001Q800000qgC2yIAE","3020001402"
"001Q800000qgC2zIAE","3020001559"
"001Q800000qgC30IAE","3020001601"
"001Q800000qgC31IAE","3020001758"
"001Q800000qgC32IAE","3020001738"
"001Q800000qgC33IAE","3020000793"
"001Q800000qgC34IAE","3020000819"
"001Q800000qgC35IAE","3020000836"
"001Q800000qgC36IAE","3020001603"
"001Q800000qgC37IAE","3020001721"
"001Q800000qgC38IAE","3020001720"
"001Q800000qgC39IAE","3020000914"
"001Q800000qgC3AIAU","3020000165"
"001Q800000qgC3BIAU","3020001072"
"001Q800000qgC3CIAU","3020001753"
"001Q800000qgC3DIAU","3020000185"
"001Q800000qgC3EIAU","3020001240"
"001Q800000qgC3FIAU","3020001257"
"001Q800000qgC3GIAU","3020001759"
"001Q800000qgC3HIAU","3020001772"
"001Q800000qgC3IIAU","3020001769"
"001Q800000qgC3JIAU","3020001765"
"001Q800000qgC3KIAU","3020001239"
"001Q800000qgC3LIAU","3020001161"
"001Q800000qgC3MIAU","3020001235"
"001Q800000qgC3NIAU","3020000715"
"001Q800000qgC3OIAU","3020001331"
"001Q800000qgC3PIAU","3020001669"
"001Q800000qgC3QIAU","3020001100"
"001Q800000qgC3RIAU","3020000022"
"001Q800000qgC3SIAU","3020000253"
"001Q800000qgC3TIAU","3020000977"
"001Q800000qgC3UIAU","3020000475"
"001Q800000qgC3VIAU","3020000381"
"001Q800000qgC3WIAU","3020001807"
"001Q800000qgC3XIAU","3020001169"
"001Q800000qgC3YIAU","3020000871"
"001Q800000qgC3ZIAU","3020001255"
"001Q800000qgC3aIAE","3020001094"
"001Q800000qgC3bIAE","3020000906"
"001Q800000qgC3cIAE","3020001024"
"001Q800000qgC3dIAE","3020001684"
"001Q800000qgC5FIAU","3020001586"
"001Q800000qgC5GIAU","3020000084"
"001Q800000qgC5HIAU","3020000427"
"001Q800000qgC5IIAU","3020001067"
"001Q800000qgC5JIAU","3020000736"
"001Q800000qgC5KIAU","3020001273"
"001Q800000qgC5LIAU","3020000487"
"001Q800000qgC5MIAU","3020001479"
"001Q800000qgC5NIAU","3020000233"
"001Q800000qgC5OIAU","3020001124"
"001Q800000qgC5PIAU","3020000166"
"001Q800000qgC5QIAU","3020000789"
"001Q800000qgC5RIAU","3020000717"
"001Q800000qgC5SIAU","3020001415"
"001Q800000qgC5TIAU","3020001429"
"001Q800000qgC5UIAU","3020001596"
"001Q800000qgC5VIAU","3020000423"
"001Q800000qgC5WIAU","3020001234"
"001Q800000qgC5XIAU","3020001283"
"001Q800000qgC5YIAU","3020001643"
"001Q800000qgC5ZIAU","3020000569"
"001Q800000qgC5aIAE","3020001018"
"001Q800000qgC5bIAE","3020001122"
"001Q800000qgC5cIAE","3020001099"
"001Q800000qgC5dIAE","3020000470"
"001Q800000qgC5eIAE","3020001382"
"001Q800000qgC5fIAE","3020001734"
"001Q800000qgC5gIAE","3020000786"
"001Q800000qgC5hIAE","3020001552"
"001Q800000qgC5iIAE","3020000500"
"001Q800000qgC5jIAE","3020000513"
"001Q800000qgC5kIAE","3020000757"
"001Q800000qgC5lIAE","3020001200"
"001Q800000qgC5mIAE","3020001388"
"001Q800000qgC5nIAE","3020000205"
"001Q800000qgC5oIAE","3020001613"
"001Q800000qgC5pIAE","3020000741"
"001Q800000qgC5qIAE","3020000483"
"001Q800000qgC5rIAE","3020000787"
"001Q800000qgC5sIAE","3020000885"
"001Q800000qgC5tIAE","3020000556"
"001Q800000qgC5uIAE","3020000752"
"001Q800000qgC5vIAE","3020001181"
"001Q800000qgC5wIAE","3020001202"
"001Q800000qgC5xIAE","3020001483"
"001Q800000qgC5yIAE","3020000956"
"001Q800000qgC5zIAE","3020000061"
