Invoice_Number__c,Invoice_Plant__c,Invoice_Customer_Code__c,Invoice_Customer_Name__c,Invoice_Sales_Org__c,Invoice_Division__c,Invoice_Sales_Group__c,Invoice_Sales_Office__c,Customer_Group__c,Invoice_District__c,Invoice_City__c,Invoice_Date__c,SO_Customer_Ref__c,SO_Customer_Ref_Date__c,Sales_Order_Number__c,Quotation_Number__c,City_Code_Diag__c
9200029007,3200,3020001586,Health Linkers,3000,30,Z07,2000,5,2000,Sahiwal,2022-01-03,LHR-21769,2021-12-15,3000025909,,LHR
9200029009,3300,3020000317,Lab Line,3000,30,Z01,1000,5,3000,Karachi,2022-01-03,0987,2022-01-03,3000026051,2900014880,KHI
9200029012,3300,3020001433,GAK Scientific,3000,30,Z02,1000,5,3000,Hyderabad,2022-01-03,034,2021-12-02,3000025417,2900014444,HYD
9200029013,3300,3020001433,GAK Scientific,3000,30,Z02,1000,5,3000,Hyderabad,2022-01-03,035,2021-12-20,3000025769,2900014696,HYD
9200029017,3300,3020000455,Chemical Centre,3000,30,Z01,1000,5,3000,Karachi,2022-01-03,CC/21/267,2021-12-30,3000026014,2900014861,KHI
9200029018,3300,3020000455,Chemical Centre,3000,30,Z01,1000,5,3000,Karachi,2022-01-03,CC/21/248,2022-01-03,3000026043,2900014704,KHI
9200029019,3300,3020000455,Chemical Centre,3000,30,Z01,1000,5,3000,Karachi,2022-01-03,CC/21/246,2022-01-03,3000026044,2900014687,KHI
9200029020,3300,3020000455,Chemical Centre,3000,30,Z01,1000,5,3000,Karachi,2022-01-03,CC/21/235,2022-01-03,3000026046,2900014598,KHI
9200029021,3300,3020001556,Khurram Traders,3000,30,Z01,1000,5,3000,Karachi,2022-01-03,KT-30.12.2021-01,2021-12-30,3000025999,2900014847,KHI
9200029029,3300,3020000455,Chemical Centre,3000,30,Z01,1000,5,3000,Karachi,2022-01-03,CC/21/266,2021-12-30,3000026013,2900014859,KHI
9200029030,3300,3020000317,Lab Line,3000,30,Z01,1000,5,3000,Karachi,2022-01-04,0166-01,2022-01-03,3000026063,2900014875,KHI
9200029031,3300,3020000317,Lab Line,3000,30,Z01,1000,5,3000,Karachi,2022-01-04,0990,2022-01-03,3000026065,2900014876,KHI
9200029032,3300,3020000317,Lab Line,3000,30,Z01,1000,5,3000,Karachi,2022-01-04,0989,2022-01-03,3000026061,2900014872,KHI
9200029033,3300,3020000317,Lab Line,3000,30,Z01,1000,5,3000,Karachi,2022-01-04,0165-01,2022-01-03,3000026064,2900014878,KHI
9200029047,3300,3020000233,Ali Traders,3000,30,Z08,2000,5,2000,Gujranwala,2022-01-04,220,2021-12-09,3000025598,,GRW
9200029048,3300,3020001433,GAK Scientific,3000,30,Z02,1000,5,3000,Hyderabad,2022-01-04,031,2021-11-10,3000024947,2900013755,HYD
9200029049,3300,3020001013,National Diagnostic Centre,3000,30,Z05,5000,5,2000,Rahim Yar Khan,2022-01-04,193,2021-12-26,3000026016,2900014827,MLT
9200029050,3300,3020001506,Sysmed & Company,3000,30,Z07,2000,5,2000,Lahore,2022-01-04,927,2021-12-06,3000026062,2900014534,LHR
9200029051,3300,3020001506,Sysmed & Company,3000,30,Z07,2000,5,2000,Lahore,2022-01-04,931,2021-12-16,3000025776,,LHR
9200029054,3300,3020001773,Care Diagnostics International,3000,30,Z09,3000,5,1000,Swat,2022-01-04,CDI008,2021-12-18,3000026037,2900014813,PWR
9200029055,3300,3020001773,Care Diagnostics International,3000,30,Z09,3000,5,1000,Swat,2022-01-04,CDI007,2021-12-16,3000026032,,PWR
9200029056,3200,3020000640,Citi Lab & Research Centre,3000,30,Z07,2000,10,2000,Lahore,2022-01-04,1003,2021-12-01,3000025643,2900014604,LHR
9200029057,3200,3020000233,Ali Traders,3000,30,Z08,2000,5,2000,Gujranwala,2022-01-04,220,2021-12-09,3000025598,,GRW
9200029058,3200,3020001460,Labex Services,3000,30,Z09,3000,5,1000,Rawalpindi,2022-01-04,LHR-21503,2021-08-12,3000025030,,RWP
9200029059,3200,3020000262,Chempure,3000,30,Z07,2000,5,2000,Lahore,2022-01-04,821-SMCH,2021-12-20,3000025809,,LHR
9200029060,3200,3020001506,Sysmed & Company,3000,30,Z07,2000,5,2000,Lahore,2022-01-04,927,2021-12-06,3000025526,2900014534,LHR
9200029061,3200,3020000262,Chempure,3000,30,Z07,2000,5,2000,Lahore,2022-01-04,818,2021-12-17,3000025792,,LHR
9200029062,3200,3020000534,Amer Trading Corporation,3000,30,Z07,2000,5,2000,Lahore,2022-01-04,2900014844,2021-12-30,3000026021,2900014844,LHR
9200029063,3200,3020000262,Chempure,3000,30,Z07,2000,5,2000,Lahore,2022-01-04,005/2021,2021-12-29,3000026020,2900014842,LHR
9200029064,3200,3020001622,Chemsol International,3000,30,Z07,2000,5,2000,Lahore,2022-01-04,0011,2021-12-23,3000026026,2900014805,LHR
9200029065,3200,3020000237,Amir Scientific Store,3000,30,Z07,2000,5,2000,Multan,2022-01-04,AMS-9712-21,2021-12-23,3000026027,2900014803,MLT
9200029066,3200,3020000257,Biocare Enterprises,3000,30,Z09,3000,5,1000,Islamabad,2022-01-04,925,2021-11-19,3300000744,,RWP
9200029067,3200,3020000257,Biocare Enterprises,3000,30,Z09,3000,5,1000,Islamabad,2022-01-04,925,2021-11-19,3000026048,,RWP
9200029068,3200,3020001506,Sysmed & Company,3000,30,Z07,2000,5,2000,Lahore,2022-01-04,931,2021-12-16,3000025776,,LHR
9200029069,3200,3020001586,Health Linkers,3000,30,Z07,2000,5,2000,Sahiwal,2022-01-04,LHR-21768,2021-12-15,3300000742,,LHR
9200029070,3200,3020001586,Health Linkers,3000,30,Z07,2000,5,2000,Sahiwal,2022-01-04,LHR-21768,2021-12-15,3000026045,,LHR
