"Id","AG_OG__c","DGroup__c"
"a0GBK000003rTdG2AU","E-CC-REF","Reagent"
"a0GBK000003rTdH2AU","DYM-HM-REA","Reagent"
"a0GBK000003rTdI2AU","DYM-HM-REA","Reagent"
"a0GBK000003rTdJ2AU","DYM-HM-REA","Reagent"
"a0GBK000003rTdK2AU","DYM-HM-REA","Reagent"
"a0GBK000003rTdL2AU","STA-COAG-CON","Reagent"
"a0GBK000003rTdM2AU","DYM-HM-REA","Reagent"
"a0GBK000003rTdN2AU","DYM-HM-REA","Reagent"
"a0GBK000003rTdO2AU","DYM-HM-REA","Reagent"
"a0GBK000003rTdP2AU","DYM-HM-REA","Reagent"
"a0GBK000003rTdQ2AU","DYM-HM-REA","Reagent"
"a0GBK000003rTdR2AU","D-CC-REAG","Reagent"
"a0GBK000003rTdS2AU","E-CC-REF","Reagent"
"a0GBK000003rTdT2AU","E-CC-REF","Reagent"
"a0GBK000003rTdU2AU","E-CC-REF","Reagent"
"a0GBK000003rTdV2AU","E-CC-REF","Reagent"
"a0GBK000003rTdW2AU","E-CC-REF","Reagent"
"a0GBK000003rTdX2AU","E-CC-REF","Reagent"
"a0GBK000003rTdY2AU","E-CC-REF","Reagent"
"a0GBK000003rTdZ2AU","E-CC-REF","Reagent"
"a0GBK000003rTda2AE","D-CC-REAG","Reagent"
"a0GBK000003rTdb2AE","E-CC-REAG","Reagent"
"a0GBK000003rTdc2AE","E-CC-REF","Reagent"
"a0GBK000003rTdd2AE","E-CC-REF","Reagent"
"a0GBK000003rTde2AE","E-CC-REF","Reagent"
"a0GBK000003rTdf2AE","E-CC-REF","Reagent"
"a0GBK000003rTdg2AE","E-CC-REF","Reagent"
"a0GBK000003rTdh2AE","E-CC-REF","Reagent"
"a0GBK000003rTdi2AE","E-CC-REF","Reagent"
"a0GBK000003rTdj2AE","E-CC-REF","Reagent"
"a0GBK000003rTdk2AE","E-CC-REAG","Reagent"
"a0GBK000003rTdl2AE","E-CC-PART","Instrument/Part"
"a0GBK000003rTdm2AE","A-HM-REAG","Reagent"
"a0GBK000003rTdn2AE","A-HM-REAG","Reagent"
"a0GBK000003rTdo2AE","E-CC-REAG","Reagent"
"a0GBK000003rTdp2AE","E-CC-REAG","Reagent"
"a0GBK000003rTdq2AE","E-CC-REAG","Reagent"
"a0GBK000003rTdr2AE","E-CC-REAG","Reagent"
"a0GBK000003rTds2AE","E-CC-REAG","Reagent"
"a0GBK000003rTdt2AE","E-CC-REAG","Reagent"
"a0GBK000003rTdu2AE","A-HM-REAG","Reagent"
"a0GBK000003rTdv2AE","A-HM-REAG","Reagent"
"a0GBK000003rTdw2AE","E-CC-REAG","Reagent"
"a0GBK000003rTdx2AE","E-CC-REF","Reagent"
"a0GBK000003rTdy2AE","E-CC-REF","Reagent"
"a0GBK000003rTdz2AE","E-CC-REF","Reagent"
"a0GBK000003rTe02AE","E-CC-REF","Reagent"
"a0GBK000003rTe12AE","E-CC-REF","Reagent"
"a0GBK000003rTe22AE","E-CC-REF","Reagent"
"a0GBK000003rTe32AE","E-CC-REF","Reagent"
"a0GBK000003rTe42AE","E-CC-REAG","Reagent"
"a0GBK000003rTe52AE","E-CC-REAG","Reagent"
"a0GBK000003rTe62AE","E-CC-REAG","Reagent"
"a0GBK000003rTe72AE","STA-COAG-CON","Reagent"
"a0GBK000003rTe82AE","STA-COAG-CON","Reagent"
"a0GBK000003rTe92AE","B-HM-REAG","Reagent"
"a0GBK000003rTeA2AU","B-HM-REAG","Reagent"
"a0GBK000003rTeB2AU","E-CC-REF","Reagent"
"a0GBK000003rTeC2AU","LOC-INST","Instrument/Part"
"a0GBK000003rTeD2AU","E-CC-REF","Reagent"
"a0GBK000003rTeE2AU","E-CC-REAG","Reagent"
"a0GBK000003rTeF2AU","LOC-INST","Instrument/Part"
"a0GBK000003rTeG2AU","LOC-INST","Instrument/Part"
"a0GBK000003rTeH2AU","E-CC-REF","Reagent"
"a0GBK000003rTeI2AU","E-CC-REF","Reagent"
"a0GBK000003rTeJ2AU","E-CC-REF","Reagent"
"a0GBK000003rTeK2AU","E-CC-REF","Reagent"
"a0GBK000003rTeL2AU","E-CC-REF","Reagent"
