"_","Id","Business_Case__c","Snapshot_Month__c","Total_Reagent_Sales__c","YTD_Sales__c","Total_Reagent_Sales_Till_Date__c","Target_Sales__c","Performance_Status__c","Contract_Months_Elapsed__c","Avg_Reagent_Sales_Per_Month__c","Deficit_Cost_Covered__c","Margin_Percent_Snapshot__c","Margin_On_Reagent_Sale__c","Margin_till_Date__c","Payback_Remaining__c","Snapshot_Created_Date__c","Processing_Status__c"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQklhMAC","a0BQ800000O2aXpMAJ","2025-01-01","0","0","0","295221","Behind","1","0","-295221","40","0","0","2915000","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkliMAC","a0BQ800000O2aXqMAJ","2024-12-01","0","0","0","143250","Behind","5","0","-716250","40","0","0","483475","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkljMAC","a0BQ800000O2aXqMAJ","2025-01-01","0","0","0","143250","Behind","4","0","-573000","40","0","0","483475","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQklkMAC","a0BQ800000O2aXqMAJ","2025-03-01","0","0","0","143250","Behind","2","0","-286500","40","0","0","483475","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkllMAC","a0BQ800000O2aXqMAJ","2025-06-01","154152.5","154152.5","154152.5","143250","On Track","1","154152.5","10902.5","40","61661","61661","329322.5","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQklmMAC","a0BQ800000O2aXqMAJ","2025-09-01","177899.95","332052.45","332052.45","143250","On Track","4","83013.1125","-240947.55","40","71159.98","132820.98","151422.55","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQklnMAC","a0BQ800000O2aXrMAJ","2025-01-01","300000","300000","300000","243750","On Track","1","300000","56250","25","75000","75000","1490491","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkloMAC","a0BQ800000O2aXrMAJ","2025-02-01","300000","600000","600000","243750","On Track","2","300000","112500","25","75000","150000","1190491","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQklpMAC","a0BQ800000O2aXrMAJ","2025-03-01","330000","930000","930000","243750","On Track","3","310000","198750","25","82500","232500","860491","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQklqMAC","a0BQ800000O2aXrMAJ","2025-04-01","300000","1230000","1230000","243750","On Track","4","307500","255000","25","75000","307500","560491","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQklrMAC","a0BQ800000O2aXrMAJ","2025-05-01","300000","1530000","1530000","243750","On Track","5","306000","311250","25","75000","382500","260491","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQklsMAC","a0BQ800000O2aXrMAJ","2025-06-01","0","1530000","1530000","243750","Behind","6","255000","67500","25","0","382500","260491","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkltMAC","a0BQ800000O2aXuMAJ","2024-08-01","0","0","0","270000","Behind","4","0","-1080000","25","0","0","2120000","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkluMAC","a0BQ800000O2aXuMAJ","2024-10-01","0","0","0","270000","Behind","2","0","-540000","25","0","0","2120000","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQklvMAC","a0BQ800000O2aXuMAJ","2024-11-01","270000","270000","270000","270000","On Track","1","270000","0","25","67500","67500","1850000","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQklwMAC","a0BQ800000O2aXuMAJ","2024-12-01","100000","370000","370000","270000","Behind","0","0","0","25","25000","92500","1750000","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQklxMAC","a0BQ800000O2aXuMAJ","2025-01-01","710000","710000","1080000","270000","On Track","1","1080000","440000","25","177500","270000","1410000","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQklyMAC","a0BQ800000O2aXuMAJ","2025-02-01","270000","980000","1350000","270000","On Track","2","675000","440000","25","67500","337500","1140000","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQklzMAC","a0BQ800000O2aXuMAJ","2025-05-01","0","980000","1350000","270000","Behind","5","270000","-370000","25","0","337500","1140000","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkm0MAC","a0BQ800000O2aXuMAJ","2025-06-01","345000","1325000","1695000","270000","On Track","6","282500","-295000","25","86250","423750","795000","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkm1MAC","a0BQ800000O2aXuMAJ","2025-07-01","270000","1595000","1965000","270000","On Track","7","280714.28571428574","-295000","25","67500","491250","525000","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkm2MAC","a0BQ800000O2aXuMAJ","2025-08-01","270000","1865000","2235000","270000","On Track","8","279375","-295000","25","67500","558750","255000","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkm3MAC","a0BQ800000O2aXuMAJ","2025-09-01","329400","2194400","2564400","270000","On Track","9","284933.3333333333","-235600","25","82350","641100","0","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkm4MAC","a0BQ800000O2aXvMAJ","2024-09-01","0","0","0","314974","Behind","3","0","-944922","40","0","0","3592655","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkm5MAC","a0BQ800000O2aXvMAJ","2024-11-01","0","0","0","314974","Behind","1","0","-314974","40","0","0","3592655","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkm6MAC","a0BQ800000O2aXvMAJ","2024-12-01","234200","234200","234200","314974","Behind","0","0","0","40","93680","93680","3358455","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkm7MAC","a0BQ800000O2aXvMAJ","2025-01-01","470800","470800","705000","314974","On Track","1","705000","155826","40","188320","282000","3121855","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkm8MAC","a0BQ800000O2aXvMAJ","2025-02-01","1920800","2391600","2625800","314974","On Track","2","1312900","1761652","40","768320","1050320","1201055","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkm9MAC","a0BQ800000O2aXvMAJ","2025-06-01","393800","2785400","3019600","314974","On Track","6","503266.6666666667","895556","40","157520","1207840","807255","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkmAMAS","a0BQ800000O2aXvMAJ","2025-07-01","309500","3094900","3329100","314974","At Risk","7","475585.71428571426","890082","40","123800","1331640","497755","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkmBMAS","a0BQ800000O2aXvMAJ","2025-08-01","455500","3550400","3784600","314974","On Track","8","473075","1030608","40","182200","1513840","42255","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkmCMAS","a0BQ800000O2aXxMAJ","2023-09-01","96000","96000","96000","100802","At Risk","9","10666.666666666666","-811218","40","38400","38400","1963750","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkmDMAS","a0BQ800000O2aXxMAJ","2024-03-01","1216000","1216000","1312000","100802","On Track","3","437333.3333333333","913594","40","486400","524800","843750","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkmEMAS","a0BQ800000O2aXxMAJ","2025-08-01","280000","280000","1592000","100802","On Track","14","113714.28571428571","-1131228","40","112000","636800","1779750","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkmFMAS","a0BQ800000O2aXxMAJ","2025-11-01","1760000","2040000","3352000","100802","On Track","17","197176.4705882353","326366","40","704000","1340800","19750","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkmGMAS","a0BQ800000O2aY3MAJ","2023-07-01","238206","238206","238206","163502","On Track","1","238206","74704","45","107192.7","107192.7","3861794","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkmHMAS","a0BQ800000O2aY3MAJ","2023-08-01","40460","278666","278666","163502","Behind","1","278666","115164","45","18207","125399.7","3821334","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkmIMAS","a0BQ800000O2aY3MAJ","2024-03-01","357692","357692","636358","163502","On Track","1","636358","194190","45","160961.4","286361.1","3742308","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkmJMAS","a0BQ800000O2aY3MAJ","2024-04-01","212300","569992","848658","163502","On Track","1","848658","406490","45","95535","381896.1","3530008","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkmKMAS","a0BQ800000O2aY3MAJ","2024-07-01","693179","1263171","1541837","163502","On Track","1","1541837","1099669","45","311930.55","693826.65","2836829","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkmLMAS","a0BQ800000O2aY3MAJ","2024-08-01","252622","1515793","1794459","163502","On Track","1","1794459","1352291","45","113679.9","807506.55","2584207","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkmMMAS","a0BQ800000O2aY3MAJ","2024-12-01","13540","1529333","1807999","163502","Behind","1","1807999","1365831","45","6093","813599.55","2570667","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkmNMAS","a0BQ800000O2aY3MAJ","2025-08-01","629759","629759","2437758","163502","On Track","1","2437758","466257","45","283391.55","1096991.1","3470241","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkmOMAS","a0BQ800000O2aY3MAJ","2025-09-01","23244","653003","2461002","163502","Behind","1","2461002","489501","45","10459.8","1107450.9","3446997","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkmPMAS","a0BQ800000O2aY3MAJ","2025-11-01","709763","1362766","3170765","163502","On Track","1","3170765","1199264","45","319393.35","1426844.25","2737234","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkmQMAS","a0BQ800000O2aY5MAJ","2021-11-01","2674000","2674000","2674000","450000","On Track","11","243090.9090909091","-2276000","40","1069600","1069600","0","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkmRMAS","a0BQ800000O2aY5MAJ","2022-02-01","1658100","1658100","4332100","450000","On Track","14","309435.71428571426","-4641900","40","663240","1732840","0","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkmSMAS","a0BQ800000O2aY5MAJ","2022-04-01","5348000","7006100","9680100","450000","On Track","16","605006.25","-193900","40","2139200","3872040","0","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkmTMAS","a0BQ800000O2aY5MAJ","2022-07-01","2674000","9680100","12354100","450000","On Track","19","650215.7894736842","1130100","40","1069600","4941640","0","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkmUMAS","a0BQ800000O2aY5MAJ","2023-08-01","1996640","1996640","14350740","450000","On Track","32","448460.625","-12403360","40","798656","5740296","0","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkmVMAS","a0BQ800000O2aY5MAJ","2025-05-01","1362711.9","1362711.9","15713451.9","450000","On Track","53","296480.2245283019","-22487288.1","40","545084.76","6285380.76","0","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkmWMAS","a0BQ800000O2aY5MAJ","2025-06-01","0","1362711.9","15713451.9","450000","Behind","54","290989.85","-22937288.1","40","0","6285380.76","0","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkmXMAS","a0BQ800000O2aY5MAJ","2025-07-01","2271186","3633897.9","17984637.9","450000","On Track","55","326993.4163636364","-21116102.1","40","908474.4","7193855.16","0","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkmYMAS","a0BQ800000O2aY6MAJ","2022-07-01","258000","258000","258000","493227","Behind","2","129000","-728454","40","103200","103200","2417000","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkmZMAS","a0BQ800000O2aY6MAJ","2022-08-01","150900","408900","408900","493227","Behind","3","136300","-1070781","40","60360","163560","2266100","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkmaMAC","a0BQ800000O2aY6MAJ","2022-09-01","147350","556250","556250","493227","Behind","4","139062.5","-1416658","40","58940","222500","2118750","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkmbMAC","a0BQ800000O2aY6MAJ","2022-10-01","329516.66","885766.66","885766.66","493227","Behind","5","177153.332","-1580368.34","40","131806.664","354306.664","1789233.34","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkmcMAC","a0BQ800000O2aY6MAJ","2022-11-01","164833.32","1050599.98","1050599.98","493227","Behind","6","175099.99666666667","-1908762.02","40","65933.328","420239.992","1624400.02","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkmdMAC","a0BQ800000O2aY6MAJ","2022-12-01","253841.67","1304441.65","1304441.65","493227","Behind","7","186348.80714285714","-2148147.35","40","101536.668","521776.66","1370558.35","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkmeMAC","a0BQ800000O2aY6MAJ","2023-01-01","110833.33","110833.33","1415274.98","493227","Behind","8","176909.3725","-3834982.67","40","44333.332","566109.992","2564166.67","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkmfMAC","a0BQ800000O2aY6MAJ","2023-02-01","256133.34","366966.67","1671408.32","493227","Behind","9","185712.03555555554","-4072076.33","40","102453.336","668563.328","2308033.33","2025-11-27","Completed"
"[Business_Case_Sales_Snapshot__c]","a0AQ800000lQkmgMAC","a0BQ800000O2aY6MAJ","2023-03-01","195966.12","562932.79","1867374.44","493227","Behind","10","186737.444","-4369337.21","40","78386.448","746949.776","2112067.21","2025-11-27","Completed"
