BC Number,Salesforce Id,Vendor Code,Vendor Name,Technology Code,Technology Name,Customer Number,Customer Name (SF),SAP Asset Number,Serial Number,Status,Is Master
BCN-000000004,a0BQ800000LhYtZMAV,,,,,,,,,Active,False
BCN-000000006,a0BQ800000Lo4AnMAJ,,,,,,,,,New,False
BCN-000000164,a0BQ800000O2aXpMAJ,ER,Erba,COAG,Coagulation,3020001175,,,E0672-41-300621,New,False
BCN-000000165,a0BQ800000O2aXqMAJ,ER,Erba,COAG,Coagulation,3020001175,,,E0672-41-300621,New,False
BCN-000000166,a0BQ800000O2aXrMAJ,NV,Nova,ABG,Arterial Blood Gas,3020001475,,,P078240080C,Active,False
BCN-000000167,a0BQ800000O2aXsMAJ,OR,OCD,IMA,Immunoassay,3020000477,,,30006238,Revised,False
BCN-000000168,a0BQ800000O2aXtMAJ,OR,OCD,IMA,Immunoassay,3020000477,,,30006243,Revised,False
BCN-000000169,a0BQ800000O2aXuMAJ,NV,Nova,ABG,Arterial Blood Gas,3020000881,,,P072230210C,Active,False
BCN-000000170,a0BQ800000O2aXvMAJ,STA,Stago,COAG,Coagulation,3020000881,,,1613,New Active,False
BCN-000000171,a0BQ800000O2aXwMAJ,YHLO,YHLO,IMA,Immunoassay,3020000491,,,IA00093322,Active,False
BCN-000000172,a0BQ800000O2aXxMAJ,A,Boule,HM,Hematology,3020001042,,,TE11042147005,New Active,False
BCN-000000173,a0BQ800000O2aXyMAJ,STA,Stago,COAG,Coagulation,3020000170,,,1746,Active,False
BCN-000000174,a0BQ800000O2aXzMAJ,OR,OCD,IMA,Immunoassay,3020000439,,,30004829,Revised,False
BCN-000000175,a0BQ800000O2aY0MAJ,ZYB,ZYBIO,URIN,Urinalysis,,,,3.24E+11,New,False
BCN-000000176,a0BQ800000O2aY1MAJ,STA,Stago,COAG,Coagulation,,,,1614,New Active,False
BCN-000000177,a0BQ800000O2aY2MAJ,YHLO,YHLO,IMA,Immunoassay,3020000491,,,IA00093322,New,False
