Type,BC Number,Salesforce Id,Vendor Code,Vendor Name,Technology Code,Technology Name,Customer Number,Customer Name,Status,Parent Master BC
MASTER,BCN-000000320,a0BQ800000O2apZMAR,OR,OCD,IMA,Immunoassay,3020000477,Aga Khan Hospital & Medical College,Revised,
child,BCN-000000167,a0BQ800000O2aXsMAJ,OR,OCD,IMA,Immunoassay,3020000477,,Revised,BCN-000000320
child,BCN-000000168,a0BQ800000O2aXtMAJ,OR,OCD,IMA,Immunoassay,3020000477,,Revised,BCN-000000320
child,BCN-000000291,a0BQ800000O2aZsMAJ,OR,OCD,IMA,Immunoassay,3020000477,,Closed,BCN-000000320
child,BCN-000000292,a0BQ800000O2aZtMAJ,OR,OCD,IMA,Immunoassay,3020000477,,Closed,BCN-000000320
MASTER,BCN-000000321,a0BQ800000O2b45MAB,YHLO,YHLO,IMA,Immunoassay,3020000491,Al Khidmat Diagnostic Center Faisal,New,
child,BCN-000000171,a0BQ800000O2aXwMAJ,YHLO,YHLO,IMA,Immunoassay,3020000491,,Active,BCN-000000321
child,BCN-000000177,a0BQ800000O2aY2MAJ,YHLO,YHLO,IMA,Immunoassay,3020000491,,New,BCN-000000321
MASTER,BCN-000000322,a0BQ800000O2bDlMAJ,YHLO,YHLO,IMA,Immunoassay,3020001748,Jamal Brothers Enterprises,Active,
child,BCN-000000187,a0BQ800000O2aYCMAZ,YHLO,YHLO,IMA,Immunoassay,3020001748,,Active,BCN-000000322
child,BCN-000000202,a0BQ800000O2aYRMAZ,YHLO,YHLO,IMA,Immunoassay,3020001748,,Active,BCN-000000322
child,BCN-000000205,a0BQ800000O2aYUMAZ,YHLO,YHLO,IMA,Immunoassay,3020001748,,Active,BCN-000000322
child,BCN-000000273,a0BQ800000O2aZaMAJ,YHLO,YHLO,IMA,Immunoassay,3020001748,,Active,BCN-000000322
MASTER,BCN-000000323,a0BQ800000O2bGzMAJ,OR,OCD,IMA,Immunoassay,3020001748,Jamal Brothers Enterprises,Revised Quetta,
child,BCN-000000196,a0BQ800000O2aYLMAZ,OR,OCD,IMA,Immunoassay,3020001748,,Revised Quetta,BCN-000000323
child,BCN-000000227,a0BQ800000O2aYqMAJ,OR,OCD,IMA,Immunoassay,3020001748,,Revised Quetta,BCN-000000323
child,BCN-000000251,a0BQ800000O2aZEMAZ,OR,OCD,IMA,Immunoassay,3020001748,,Revised Quetta,BCN-000000323
child,BCN-000000252,a0BQ800000O2aZFMAZ,OR,OCD,IMA,Immunoassay,3020001748,,Active,BCN-000000323
child,BCN-000000253,a0BQ800000O2aZGMAZ,OR,OCD,IMA,Immunoassay,3020001748,,Active,BCN-000000323
child,BCN-000000278,a0BQ800000O2aZfMAJ,OR,OCD,IMA,Immunoassay,3020001748,,Revised Quetta,BCN-000000323
child,BCN-000000309,a0BQ800000O2aaAMAR,OR,OCD,IMA,Immunoassay,3020001748,,Closed Quetta,BCN-000000323
child,BCN-000000315,a0BQ800000O2aaGMAR,OR,OCD,IMA,Immunoassay,3020001748,,Closed Quetta,BCN-000000323
child,BCN-000000318,a0BQ800000O2aaJMAR,OR,OCD,IMA,Immunoassay,3020001748,,Closed Quetta,BCN-000000323
MASTER,BCN-000000324,a0BQ800000O2YiwMAF,ER,Erba,ELCT,Analyzer,3020001511,Indus Hospital & Health Network,New,
child,BCN-000000214,a0BQ800000O2aYdMAJ,ER,Erba,ELCT,Analyzer,3020001511,,Active,BCN-000000324
